pygame 2.6.0 (SDL 2.28.4, Python 3.12.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
100
100
         12397737 function calls (12376331 primitive calls) in 13.219 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5784    0.001    0.000    0.002    0.000 _parser.py:168(__getitem__)
      117    0.001    0.000    0.002    0.000 __init__.py:347(__new__)
      238    0.001    0.000    0.003    0.000 version.py:186(__init__)
      624    0.001    0.000    0.003    0.000 typing.py:345(_remove_dups_flatten)
     9666    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     1056    0.001    0.000    0.031    0.000 __init__.py:280(_compile)
      580    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
    11663    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
     1029    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1300    0.001    0.000    0.002    0.000 typing.py:1196(__getattr__)
        1    0.001    0.001    1.532    1.532 main.py:270(__init__)
       73    0.001    0.000    0.007    0.000 enum.py:528(__new__)
     1103    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     5129    0.001    0.000    0.001    0.000 typing.py:1264(<genexpr>)
        1    0.001    0.001    0.001    0.001 context.py:233(__init__)
     5839    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      409    0.001    0.000    0.012    0.000 typing.py:1467(__getitem__)
     1453    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2150    0.001    0.000    0.004    0.000 <frozen posixpath>:408(abspath)
     1103    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     5030    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1233    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
     1029    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      200    0.001    0.000    0.003    0.000 main.py:237(__init__)
  551/549    0.001    0.000    0.002    0.000 sprite.py:446(add)
     5030    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      148    0.001    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      460    0.001    0.000    0.003    0.000 typing.py:262(_collect_parameters)
     2316    0.001    0.000    0.002    0.000 enum.py:726(__call__)
      544    0.001    0.000    0.002    0.000 module.py:528(register_parameter)
       34    0.001    0.000    0.005    0.000 typing.py:2800(__new__)
      838    0.001    0.000    0.002    0.000 inspect.py:748(unwrap)
     5715    0.001    0.000    0.002    0.000 typing.py:1270(__eq__)
     1915    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     4118    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     4831    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
2388/1996    0.001    0.000    0.002    0.000 typing.py:1276(__hash__)
      336    0.001    0.000    0.006    0.000 helper.py:43(get_edge_position)
  989/265    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
      244    0.001    0.000    0.017    0.000 __init__.py:2085(find_on_path)
     1632    0.001    0.000    0.001    0.000 module.py:1696(__getattr__)
     2024    0.001    0.000    0.001    0.000 _ops.py:43(__init__)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.dlopen}
   353/97    0.001    0.000    0.017    0.000 _parser.py:452(_parse_sub)
     3631    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     1252    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1604    0.001    0.000    0.002    0.000 {built-in method builtins.all}
      272    0.001    0.000    0.011    0.000 linear.py:105(reset_parameters)
     4824    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     1068    0.001    0.000    0.012    0.000 inspect.py:970(getabsfile)
     1029    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     1076    0.001    0.000    0.050    0.000 <frozen posixpath>:423(realpath)
     1233    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
